,uid,scenario,physical,document,witness,character
1340,AVFMTS8A5R4XK,11,clear_in,clear_ex,none,clear_ex
1341,AVFMTS8A5R4XK,9,clear_in,clear_ex,ambiguous,none
1342,AVFMTS8A5R4XK,23,clear_in,none,clear_in,none
1343,AVFMTS8A5R4XK,30,clear_ex,clear_ex,clear_ex,clear_ex
1344,AVFMTS8A5R4XK,8,clear_in,none,clear_in,clear_ex
1345,AVFMTS8A5R4XK,15,ambiguous,none,clear_in,clear_in
1346,AVFMTS8A5R4XK,18,clear_ex,ambiguous,none,clear_in
1347,AVFMTS8A5R4XK,31,clear_in,clear_in,clear_ex,clear_ex
1348,AVFMTS8A5R4XK,22,ambiguous,clear_in,none,clear_in
1349,AVFMTS8A5R4XK,7,clear_in,clear_in,ambiguous,none
1350,AVFMTS8A5R4XK,5,ambiguous,clear_ex,ambiguous,none
1351,AVFMTS8A5R4XK,10,clear_in,clear_ex,ambiguous,clear_in
1352,AVFMTS8A5R4XK,21,clear_in,clear_in,clear_in,clear_in
1353,AVFMTS8A5R4XK,6,clear_ex,clear_in,clear_ex,clear_ex
1354,AVFMTS8A5R4XK,16,clear_ex,none,clear_ex,none
1355,AVFMTS8A5R4XK,2,clear_ex,clear_in,ambiguous,clear_in
1356,AVFMTS8A5R4XK,20,clear_in,clear_in,ambiguous,clear_in
1357,AVFMTS8A5R4XK,12,none,ambiguous,ambiguous,clear_ex
1358,AVFMTS8A5R4XK,3,ambiguous,none,none,clear_ex
1359,AVFMTS8A5R4XK,19,ambiguous,clear_in,ambiguous,clear_in
1360,AVFMTS8A5R4XK,27,clear_ex,clear_ex,clear_ex,none
1361,AVFMTS8A5R4XK,1,clear_in,none,clear_ex,none
1362,AVFMTS8A5R4XK,25,clear_in,ambiguous,none,none
1363,AVFMTS8A5R4XK,29,clear_in,clear_ex,clear_ex,none
1364,A2KDLLDJQ5YB4L,7,none,clear_in,clear_in,clear_ex
1365,A2KDLLDJQ5YB4L,8,ambiguous,none,clear_in,none
1366,A2KDLLDJQ5YB4L,21,clear_ex,clear_in,ambiguous,clear_ex
1367,A2KDLLDJQ5YB4L,15,none,ambiguous,clear_in,clear_ex
1368,A2KDLLDJQ5YB4L,22,ambiguous,clear_in,none,clear_in
1369,A2KDLLDJQ5YB4L,26,clear_in,ambiguous,ambiguous,none
1370,A2KDLLDJQ5YB4L,3,none,clear_in,clear_in,none
1371,A2KDLLDJQ5YB4L,12,clear_in,clear_in,ambiguous,none
1372,A2KDLLDJQ5YB4L,16,clear_in,none,ambiguous,clear_ex
1373,A2KDLLDJQ5YB4L,27,ambiguous,clear_in,none,none
1374,A2KDLLDJQ5YB4L,1,ambiguous,clear_ex,clear_in,clear_ex
1375,A2KDLLDJQ5YB4L,6,clear_in,ambiguous,clear_ex,clear_ex
1376,A2KDLLDJQ5YB4L,2,clear_ex,clear_in,none,none
1377,A2KDLLDJQ5YB4L,5,clear_in,none,clear_ex,clear_in
1378,A2KDLLDJQ5YB4L,25,ambiguous,clear_in,clear_in,none
1379,A2KDLLDJQ5YB4L,9,clear_ex,none,clear_in,none
1380,A2KDLLDJQ5YB4L,17,ambiguous,clear_in,clear_ex,clear_in
1381,A2KDLLDJQ5YB4L,19,ambiguous,ambiguous,clear_in,clear_ex
1382,A2KDLLDJQ5YB4L,14,none,clear_ex,clear_in,none
1383,A2KDLLDJQ5YB4L,28,clear_in,ambiguous,none,clear_in
1384,A2KDLLDJQ5YB4L,29,none,clear_in,ambiguous,none
1385,A2KDLLDJQ5YB4L,30,clear_in,clear_in,clear_in,clear_in
1386,A2KDLLDJQ5YB4L,10,clear_in,clear_ex,clear_ex,clear_in
1387,A2KDLLDJQ5YB4L,31,clear_in,ambiguous,none,none
1388,A2KDLLDJQ5YB4L,11,ambiguous,none,clear_in,clear_in
1389,A2KDLLDJQ5YB4L,4,clear_in,none,none,clear_in
1390,A2KDLLDJQ5YB4L,24,clear_in,clear_in,clear_ex,clear_in
1391,A2KDLLDJQ5YB4L,23,clear_in,none,none,none
1392,A2KDLLDJQ5YB4L,18,clear_in,none,ambiguous,none
1393,A2KDLLDJQ5YB4L,13,clear_in,clear_in,clear_in,clear_ex
1394,A2KDLLDJQ5YB4L,20,none,clear_ex,clear_in,clear_in
1395,A37JC45Y9GLSA7,21,clear_ex,clear_in,clear_in,clear_ex
1396,A37JC45Y9GLSA7,26,ambiguous,none,clear_ex,clear_ex
1397,A37JC45Y9GLSA7,8,clear_ex,ambiguous,clear_ex,clear_ex
1398,A37JC45Y9GLSA7,27,clear_in,none,ambiguous,none
1399,A37JC45Y9GLSA7,22,clear_in,none,clear_ex,clear_in
1400,A37JC45Y9GLSA7,2,ambiguous,ambiguous,none,clear_in
1401,A37JC45Y9GLSA7,5,ambiguous,none,none,clear_ex
1402,A37JC45Y9GLSA7,6,clear_in,none,clear_in,none
1403,A37JC45Y9GLSA7,12,none,ambiguous,clear_ex,clear_in
1404,A37JC45Y9GLSA7,15,ambiguous,none,clear_in,none
1405,A37JC45Y9GLSA7,4,ambiguous,none,ambiguous,none
1406,A37JC45Y9GLSA7,25,clear_in,clear_ex,clear_ex,clear_ex
1407,A37JC45Y9GLSA7,10,clear_in,ambiguous,clear_ex,clear_ex
1408,A37JC45Y9GLSA7,7,none,none,clear_in,clear_ex
1409,A37JC45Y9GLSA7,24,clear_ex,none,clear_ex,clear_in
1410,A37JC45Y9GLSA7,23,ambiguous,none,clear_ex,none
1411,A37JC45Y9GLSA7,19,none,clear_ex,clear_ex,clear_in
1412,A37JC45Y9GLSA7,1,ambiguous,clear_ex,none,clear_in
1413,A37JC45Y9GLSA7,11,clear_ex,ambiguous,clear_ex,clear_in
1414,A37JC45Y9GLSA7,13,clear_ex,clear_in,clear_ex,clear_in
1415,A37JC45Y9GLSA7,20,clear_ex,clear_in,clear_in,clear_in
1416,A37JC45Y9GLSA7,29,ambiguous,none,clear_in,clear_ex
1417,A37JC45Y9GLSA7,31,clear_ex,ambiguous,none,clear_ex
1418,A37JC45Y9GLSA7,14,clear_ex,clear_ex,none,clear_ex
1419,A37JC45Y9GLSA7,16,clear_in,clear_in,none,clear_in
1420,A37JC45Y9GLSA7,18,ambiguous,clear_in,clear_in,clear_ex
1421,A37JC45Y9GLSA7,17,none,none,clear_in,none
1422,A37JC45Y9GLSA7,28,clear_ex,none,clear_in,clear_in
1423,A37JC45Y9GLSA7,9,ambiguous,clear_ex,clear_ex,clear_ex
1424,A37JC45Y9GLSA7,30,clear_in,clear_in,clear_in,clear_ex
1425,A37JC45Y9GLSA7,3,none,none,clear_ex,clear_in
1426,A3OT9EHUD1UORR,2,ambiguous,clear_ex,clear_in,clear_ex
1427,A3OT9EHUD1UORR,17,none,clear_in,clear_in,clear_ex
1428,A3OT9EHUD1UORR,21,ambiguous,clear_in,clear_ex,clear_ex
1429,A3OT9EHUD1UORR,3,clear_ex,clear_in,none,none
1430,A3OT9EHUD1UORR,25,none,ambiguous,clear_in,none
1431,A3OT9EHUD1UORR,8,clear_in,ambiguous,ambiguous,none
1432,A3OT9EHUD1UORR,11,clear_in,clear_in,ambiguous,clear_ex
1433,A3OT9EHUD1UORR,20,clear_in,clear_in,clear_ex,clear_ex
1434,A3OT9EHUD1UORR,14,clear_in,clear_ex,clear_ex,clear_in
1435,A3OT9EHUD1UORR,30,clear_in,ambiguous,clear_ex,none
1436,A3OT9EHUD1UORR,18,clear_in,ambiguous,none,none
1437,A3OT9EHUD1UORR,7,ambiguous,clear_ex,clear_in,none
1438,A3OT9EHUD1UORR,10,none,ambiguous,clear_in,clear_ex
1439,A3OT9EHUD1UORR,26,ambiguous,clear_in,clear_in,none
1440,A3OT9EHUD1UORR,27,ambiguous,ambiguous,clear_in,clear_in
1441,A3OT9EHUD1UORR,6,clear_in,none,none,clear_in
1442,A3OT9EHUD1UORR,22,clear_in,clear_in,clear_in,clear_ex
1443,A3OT9EHUD1UORR,9,clear_ex,clear_ex,clear_in,clear_in
1444,A3OT9EHUD1UORR,15,clear_in,ambiguous,clear_in,none
1445,A3OT9EHUD1UORR,19,clear_in,clear_ex,clear_in,clear_in
1446,A3OT9EHUD1UORR,29,none,clear_ex,clear_in,none
1447,A3OT9EHUD1UORR,5,none,none,clear_in,clear_ex
1448,A3OT9EHUD1UORR,13,clear_in,clear_ex,clear_in,clear_ex
1449,A3OT9EHUD1UORR,12,clear_in,none,clear_in,clear_ex
1450,A3OT9EHUD1UORR,24,ambiguous,clear_in,ambiguous,clear_ex
1451,A3OT9EHUD1UORR,31,clear_in,none,ambiguous,clear_ex
1452,A3OT9EHUD1UORR,4,clear_in,none,none,none
1453,A3OT9EHUD1UORR,23,ambiguous,clear_in,ambiguous,clear_in
1454,A3OT9EHUD1UORR,16,clear_ex,none,clear_in,none
1455,A3OT9EHUD1UORR,28,ambiguous,clear_in,none,clear_in
1456,A3OT9EHUD1UORR,1,clear_in,clear_in,ambiguous,none
1457,A26X8BQELDQSGH,9,clear_ex,clear_in,none,clear_in
1458,A26X8BQELDQSGH,16,clear_in,clear_in,clear_ex,clear_in
1459,A26X8BQELDQSGH,5,clear_in,none,clear_ex,none
1460,A26X8BQELDQSGH,13,clear_ex,clear_in,clear_in,clear_ex
1461,A26X8BQELDQSGH,28,clear_in,none,none,clear_in
1462,A26X8BQELDQSGH,20,ambiguous,clear_in,ambiguous,none
1463,A26X8BQELDQSGH,22,clear_in,clear_in,none,clear_in
1464,A26X8BQELDQSGH,8,none,clear_in,none,clear_in
1465,A26X8BQELDQSGH,25,ambiguous,clear_in,clear_ex,clear_ex
1466,A26X8BQELDQSGH,15,clear_ex,clear_in,clear_in,clear_in
1467,A26X8BQELDQSGH,14,clear_in,clear_in,ambiguous,clear_ex
1468,A26X8BQELDQSGH,6,clear_in,clear_ex,ambiguous,clear_in
1469,A26X8BQELDQSGH,18,clear_in,clear_ex,clear_in,clear_in
1470,A26X8BQELDQSGH,31,clear_ex,none,clear_in,clear_in
1471,A26X8BQELDQSGH,21,clear_in,ambiguous,clear_in,clear_in
1472,A26X8BQELDQSGH,2,none,none,clear_in,clear_ex
1473,A26X8BQELDQSGH,26,ambiguous,clear_in,clear_in,clear_ex
1474,A26X8BQELDQSGH,3,none,clear_in,clear_in,none
1475,A26X8BQELDQSGH,23,clear_ex,clear_in,ambiguous,clear_in
1476,A26X8BQELDQSGH,11,ambiguous,clear_ex,clear_in,none
1477,A26X8BQELDQSGH,1,clear_ex,ambiguous,clear_in,clear_in
1478,A26X8BQELDQSGH,27,none,clear_in,none,none
1479,A26X8BQELDQSGH,7,clear_ex,clear_in,ambiguous,clear_ex
1480,A26X8BQELDQSGH,24,clear_in,none,ambiguous,clear_ex
1481,A26X8BQELDQSGH,19,ambiguous,ambiguous,clear_in,none
1482,A26X8BQELDQSGH,4,ambiguous,clear_ex,clear_in,clear_in
1483,A26X8BQELDQSGH,12,clear_in,clear_ex,clear_in,none
1484,A26X8BQELDQSGH,30,clear_ex,clear_in,ambiguous,none
1485,A26X8BQELDQSGH,29,clear_in,clear_ex,clear_ex,clear_in
1486,A26X8BQELDQSGH,17,ambiguous,clear_ex,clear_in,clear_ex
1487,A26X8BQELDQSGH,10,clear_in,ambiguous,clear_ex,none
1488,A2XS49LRNX8PD4,5,ambiguous,ambiguous,clear_in,clear_in
1489,A2XS49LRNX8PD4,30,none,clear_in,clear_in,clear_in
1490,A2XS49LRNX8PD4,28,clear_in,clear_ex,ambiguous,clear_ex
1491,A2XS49LRNX8PD4,31,clear_in,none,ambiguous,clear_in
1492,A2XS49LRNX8PD4,17,clear_in,ambiguous,clear_ex,none
1493,A2XS49LRNX8PD4,2,clear_in,clear_in,clear_in,none
1494,A2XS49LRNX8PD4,3,ambiguous,clear_in,clear_ex,clear_in
1495,A2XS49LRNX8PD4,29,clear_in,clear_in,none,none
1496,A2XS49LRNX8PD4,12,none,clear_ex,clear_in,clear_in
1497,A2XS49LRNX8PD4,26,clear_ex,ambiguous,clear_in,clear_in
1498,A2XS49LRNX8PD4,13,ambiguous,clear_in,none,clear_in
1499,A2XS49LRNX8PD4,15,clear_in,ambiguous,none,clear_in
1500,A2XS49LRNX8PD4,10,clear_in,none,none,clear_ex
1501,A2XS49LRNX8PD4,14,clear_in,clear_in,none,clear_ex
1502,A2XS49LRNX8PD4,8,clear_in,ambiguous,ambiguous,clear_ex
1503,A2XS49LRNX8PD4,25,clear_in,ambiguous,ambiguous,none
1504,A2XS49LRNX8PD4,23,clear_ex,ambiguous,clear_in,none
1505,A2XS49LRNX8PD4,6,clear_ex,clear_in,clear_in,clear_in
1506,A2XS49LRNX8PD4,11,ambiguous,ambiguous,clear_in,clear_ex
1507,A2XS49LRNX8PD4,9,ambiguous,none,clear_in,none
1508,A2XS49LRNX8PD4,22,none,clear_in,ambiguous,clear_in
1509,A2XS49LRNX8PD4,16,clear_in,none,clear_in,none
1510,A2XS49LRNX8PD4,27,clear_in,none,clear_ex,none
1511,A2XS49LRNX8PD4,21,clear_ex,clear_in,ambiguous,clear_ex
1512,A2XS49LRNX8PD4,24,ambiguous,clear_in,clear_in,clear_in
1513,A2XS49LRNX8PD4,7,clear_in,clear_ex,ambiguous,none
1514,A2XS49LRNX8PD4,4,none,clear_in,ambiguous,clear_ex
1515,A2XS49LRNX8PD4,20,clear_in,none,clear_in,clear_ex
1516,A2XS49LRNX8PD4,19,none,none,clear_in,none
1517,A2XS49LRNX8PD4,1,none,clear_ex,clear_in,none
1518,A2XS49LRNX8PD4,18,clear_ex,none,clear_in,clear_in
1519,A3B2E83YBR3L6E,2,ambiguous,clear_in,clear_in,none
1520,A3B2E83YBR3L6E,26,clear_in,clear_in,ambiguous,clear_ex
1521,A3B2E83YBR3L6E,29,none,clear_in,ambiguous,none
1522,A3B2E83YBR3L6E,30,clear_ex,ambiguous,clear_in,none
1523,A3B2E83YBR3L6E,5,none,clear_in,none,none
1524,A3B2E83YBR3L6E,1,clear_ex,clear_in,clear_in,none
1525,A3B2E83YBR3L6E,25,clear_in,clear_in,clear_ex,none
1526,A3B2E83YBR3L6E,12,ambiguous,ambiguous,clear_in,clear_in
1527,A3B2E83YBR3L6E,9,ambiguous,clear_in,ambiguous,clear_ex
1528,A3B2E83YBR3L6E,24,clear_in,none,none,clear_ex
1529,A3B2E83YBR3L6E,20,none,clear_in,clear_in,clear_in
1530,A3B2E83YBR3L6E,6,clear_in,clear_in,ambiguous,none
1531,A3B2E83YBR3L6E,14,clear_in,clear_ex,ambiguous,clear_ex
1532,A3B2E83YBR3L6E,8,ambiguous,clear_in,none,clear_ex
1533,A3B2E83YBR3L6E,18,clear_ex,clear_in,ambiguous,clear_ex
1534,A3B2E83YBR3L6E,16,ambiguous,clear_in,clear_in,clear_ex
1535,A3B2E83YBR3L6E,27,clear_in,ambiguous,none,clear_in
1536,A3B2E83YBR3L6E,17,ambiguous,none,clear_in,clear_in
1537,A3B2E83YBR3L6E,11,clear_in,none,none,none
1538,A3B2E83YBR3L6E,3,clear_in,ambiguous,none,clear_ex
1539,A3B2E83YBR3L6E,13,clear_ex,ambiguous,clear_in,clear_in
1540,A3B2E83YBR3L6E,15,clear_in,none,none,clear_in
1541,A3B2E83YBR3L6E,21,clear_in,clear_in,clear_in,clear_in
1542,A3B2E83YBR3L6E,22,clear_ex,ambiguous,clear_in,clear_ex
1543,A3B2E83YBR3L6E,4,clear_in,clear_in,clear_ex,clear_in
1544,A3B2E83YBR3L6E,28,ambiguous,clear_in,ambiguous,clear_in
1545,A3B2E83YBR3L6E,31,ambiguous,none,clear_in,clear_ex
1546,A3B2E83YBR3L6E,7,clear_in,clear_ex,none,clear_in
1547,A3B2E83YBR3L6E,23,clear_in,ambiguous,none,none
1548,A3B2E83YBR3L6E,19,clear_in,ambiguous,ambiguous,clear_ex
1549,A3B2E83YBR3L6E,10,ambiguous,ambiguous,clear_in,none
1550,A1ZGIRYMWB9GO5,3,ambiguous,clear_in,clear_in,clear_ex
1551,A1ZGIRYMWB9GO5,1,ambiguous,clear_in,clear_ex,clear_ex
1552,A1ZGIRYMWB9GO5,5,clear_ex,clear_ex,clear_ex,clear_in
1553,A1ZGIRYMWB9GO5,22,none,clear_ex,clear_ex,none
1554,A1ZGIRYMWB9GO5,16,none,ambiguous,clear_in,clear_in
1555,A1ZGIRYMWB9GO5,19,clear_in,none,ambiguous,clear_ex
1556,A1ZGIRYMWB9GO5,30,clear_ex,clear_ex,none,none
1557,A1ZGIRYMWB9GO5,15,none,ambiguous,none,none
1558,A1ZGIRYMWB9GO5,11,none,clear_ex,clear_ex,clear_in
1559,A1ZGIRYMWB9GO5,18,ambiguous,none,none,clear_ex
1560,A1ZGIRYMWB9GO5,21,clear_ex,ambiguous,ambiguous,clear_in
1561,A1ZGIRYMWB9GO5,29,ambiguous,clear_ex,none,clear_in
1562,A1ZGIRYMWB9GO5,27,clear_in,none,clear_in,clear_in
1563,A1ZGIRYMWB9GO5,23,ambiguous,ambiguous,ambiguous,clear_in
1564,A1ZGIRYMWB9GO5,25,clear_in,ambiguous,clear_ex,clear_in
1565,A1ZGIRYMWB9GO5,6,clear_ex,clear_ex,ambiguous,clear_in
1566,A1ZGIRYMWB9GO5,4,clear_ex,ambiguous,ambiguous,none
1567,A1ZGIRYMWB9GO5,2,clear_ex,clear_in,clear_ex,clear_ex
1568,A1ZGIRYMWB9GO5,28,clear_in,none,none,clear_ex
1569,A1ZGIRYMWB9GO5,10,clear_ex,ambiguous,clear_in,none
1570,A1ZGIRYMWB9GO5,17,clear_in,clear_ex,none,clear_ex
1571,A1ZGIRYMWB9GO5,14,none,clear_in,ambiguous,clear_in
1572,A1ZGIRYMWB9GO5,13,clear_ex,none,ambiguous,clear_ex
1573,A1ZGIRYMWB9GO5,8,none,clear_in,clear_ex,none
1574,A1ZGIRYMWB9GO5,12,clear_in,clear_ex,clear_ex,none
1575,A1ZGIRYMWB9GO5,26,ambiguous,clear_ex,clear_in,clear_ex
1576,A1ZGIRYMWB9GO5,20,none,none,ambiguous,clear_in
1577,A1ZGIRYMWB9GO5,7,none,ambiguous,clear_in,none
1578,A1ZGIRYMWB9GO5,9,clear_ex,clear_in,clear_ex,clear_in
1579,A1ZGIRYMWB9GO5,24,clear_ex,clear_ex,clear_ex,none
1580,A1ZGIRYMWB9GO5,31,none,none,clear_ex,clear_ex
1581,ACD400BAWY7QC,26,clear_ex,ambiguous,ambiguous,clear_ex
1582,ACD400BAWY7QC,18,clear_ex,clear_in,ambiguous,clear_ex
1583,ACD400BAWY7QC,3,ambiguous,clear_in,clear_in,clear_ex
1584,ACD400BAWY7QC,5,none,clear_in,none,clear_ex
1585,ACD400BAWY7QC,19,ambiguous,ambiguous,none,clear_ex
1586,ACD400BAWY7QC,25,clear_ex,none,ambiguous,none
1587,ACD400BAWY7QC,31,none,ambiguous,clear_in,clear_ex
1588,ACD400BAWY7QC,24,ambiguous,ambiguous,clear_in,none
1589,ACD400BAWY7QC,14,ambiguous,clear_ex,clear_in,none
1590,ACD400BAWY7QC,10,clear_in,clear_ex,none,clear_in
1591,ACD400BAWY7QC,1,clear_in,clear_ex,clear_ex,none
1592,ACD400BAWY7QC,21,clear_in,clear_in,clear_ex,clear_in
1593,ACD400BAWY7QC,16,clear_in,none,clear_ex,clear_in
1594,ACD400BAWY7QC,20,ambiguous,none,ambiguous,clear_ex
1595,ACD400BAWY7QC,27,ambiguous,clear_ex,ambiguous,none
1596,ACD400BAWY7QC,12,clear_in,clear_in,clear_ex,clear_ex
1597,ACD400BAWY7QC,4,ambiguous,ambiguous,clear_ex,none
1598,ACD400BAWY7QC,17,clear_in,clear_in,none,none
1599,ACD400BAWY7QC,2,none,ambiguous,ambiguous,clear_ex
1600,ACD400BAWY7QC,13,clear_in,clear_in,ambiguous,none
1601,ACD400BAWY7QC,28,clear_in,none,ambiguous,none
1602,ACD400BAWY7QC,7,none,ambiguous,none,clear_ex
1603,ACD400BAWY7QC,22,none,clear_in,none,clear_in
1604,ACD400BAWY7QC,8,clear_ex,clear_in,clear_in,clear_ex
1605,ACD400BAWY7QC,30,clear_ex,none,clear_in,none
1606,ACD400BAWY7QC,15,clear_in,none,clear_in,none
1607,ACD400BAWY7QC,23,clear_ex,clear_ex,none,clear_ex
1608,ACD400BAWY7QC,29,none,none,clear_in,clear_ex
1609,ACD400BAWY7QC,9,clear_in,clear_ex,clear_ex,clear_in
1610,ACD400BAWY7QC,11,none,none,ambiguous,clear_in
1611,ACD400BAWY7QC,6,ambiguous,clear_in,none,clear_ex
1612,A2C0VTQOFYUP83,4,clear_in,none,clear_in,clear_ex
1613,A2C0VTQOFYUP83,7,none,clear_in,clear_ex,clear_in
1614,A2C0VTQOFYUP83,15,clear_in,ambiguous,clear_ex,clear_ex
1615,A2C0VTQOFYUP83,5,clear_in,clear_ex,clear_in,clear_in
1616,A2C0VTQOFYUP83,10,clear_ex,clear_in,clear_in,clear_in
1617,A2C0VTQOFYUP83,31,clear_in,clear_ex,clear_ex,clear_in
1618,A2C0VTQOFYUP83,14,clear_ex,clear_in,clear_ex,clear_in
1619,A2C0VTQOFYUP83,21,clear_in,ambiguous,clear_ex,clear_in
1620,A2C0VTQOFYUP83,2,ambiguous,none,clear_in,clear_in
1621,A2C0VTQOFYUP83,12,clear_ex,ambiguous,clear_in,clear_in
1622,A2C0VTQOFYUP83,29,clear_in,clear_ex,none,clear_in
1623,A2C0VTQOFYUP83,27,none,clear_in,clear_in,clear_in
1624,A2C0VTQOFYUP83,13,ambiguous,none,clear_in,none
1625,A2C0VTQOFYUP83,9,clear_ex,ambiguous,clear_in,clear_ex
1626,A2C0VTQOFYUP83,11,clear_in,none,clear_ex,clear_in
1627,A2C0VTQOFYUP83,17,clear_in,none,none,clear_in
1628,A2C0VTQOFYUP83,28,clear_in,ambiguous,none,none
1629,A2C0VTQOFYUP83,30,none,clear_ex,clear_in,clear_in
1630,A2C0VTQOFYUP83,24,none,ambiguous,clear_in,clear_in
1631,A2C0VTQOFYUP83,26,clear_ex,clear_ex,clear_in,clear_in
1632,A2C0VTQOFYUP83,18,clear_in,clear_in,ambiguous,clear_in
1633,A2C0VTQOFYUP83,23,clear_ex,clear_in,none,clear_in
1634,A2C0VTQOFYUP83,8,ambiguous,clear_ex,clear_in,clear_ex
1635,A2C0VTQOFYUP83,1,none,none,clear_in,none
1636,A2C0VTQOFYUP83,22,clear_in,clear_in,ambiguous,none
1637,A2C0VTQOFYUP83,25,clear_in,ambiguous,ambiguous,clear_ex
1638,A2C0VTQOFYUP83,6,clear_ex,none,clear_in,none
1639,A2C0VTQOFYUP83,20,none,clear_in,none,clear_in
1640,A2C0VTQOFYUP83,3,none,clear_in,ambiguous,clear_in
1641,A2C0VTQOFYUP83,16,clear_in,clear_ex,clear_in,clear_ex
1642,A2C0VTQOFYUP83,19,clear_in,clear_ex,ambiguous,clear_in
1643,A1HUIJ5U9UW86A,10,ambiguous,ambiguous,ambiguous,clear_ex
1644,A1HUIJ5U9UW86A,13,clear_ex,clear_ex,clear_in,none
1645,A1HUIJ5U9UW86A,19,clear_in,none,none,none
1646,A1HUIJ5U9UW86A,16,none,none,ambiguous,clear_in
1647,A1HUIJ5U9UW86A,2,none,ambiguous,clear_ex,clear_ex
1648,A1HUIJ5U9UW86A,8,clear_in,clear_in,ambiguous,clear_ex
1649,A1HUIJ5U9UW86A,5,ambiguous,none,clear_in,none
1650,A1HUIJ5U9UW86A,6,none,clear_in,clear_in,clear_ex
1651,A1HUIJ5U9UW86A,31,none,clear_in,none,clear_in
1652,A1HUIJ5U9UW86A,21,none,ambiguous,clear_ex,none
1653,A1HUIJ5U9UW86A,27,ambiguous,none,ambiguous,clear_in
1654,A1HUIJ5U9UW86A,30,clear_in,clear_ex,clear_in,clear_in
1655,A1HUIJ5U9UW86A,9,clear_ex,clear_in,clear_ex,clear_ex
1656,A1HUIJ5U9UW86A,11,ambiguous,clear_in,none,none
1657,A1HUIJ5U9UW86A,7,clear_in,clear_in,none,clear_ex
1658,A1HUIJ5U9UW86A,26,none,clear_ex,none,clear_in
1659,A1HUIJ5U9UW86A,28,none,clear_ex,ambiguous,clear_in
1660,A1HUIJ5U9UW86A,29,clear_ex,clear_ex,ambiguous,clear_ex
1661,A1HUIJ5U9UW86A,18,clear_ex,clear_ex,none,clear_ex
1662,A1HUIJ5U9UW86A,14,none,ambiguous,clear_in,none
1663,A1HUIJ5U9UW86A,17,ambiguous,ambiguous,none,none
1664,A1HUIJ5U9UW86A,12,clear_ex,ambiguous,clear_in,clear_ex
1665,A1HUIJ5U9UW86A,4,ambiguous,ambiguous,clear_ex,none
1666,A1HUIJ5U9UW86A,20,clear_in,ambiguous,ambiguous,clear_in
1667,A1HUIJ5U9UW86A,23,clear_in,none,none,clear_in
1668,A1HUIJ5U9UW86A,15,clear_ex,clear_in,clear_ex,clear_in
1669,A1HUIJ5U9UW86A,3,clear_in,clear_ex,ambiguous,none
1670,A1HUIJ5U9UW86A,24,ambiguous,clear_in,clear_in,clear_ex
1671,A1HUIJ5U9UW86A,25,clear_ex,none,none,none
1672,A1HUIJ5U9UW86A,1,none,clear_in,clear_ex,clear_in
1673,A1HUIJ5U9UW86A,22,ambiguous,clear_in,ambiguous,clear_in
1674,AGRKG3YT3KMD8,13,clear_in,clear_in,clear_in,none
1675,AGRKG3YT3KMD8,28,clear_in,none,none,clear_in
1676,AGRKG3YT3KMD8,30,none,clear_in,clear_in,none
1677,AGRKG3YT3KMD8,12,none,none,clear_in,none
1678,AGRKG3YT3KMD8,4,none,clear_in,clear_in,clear_in
1679,AGRKG3YT3KMD8,9,none,clear_in,none,clear_in
1680,AGRKG3YT3KMD8,19,clear_in,clear_in,none,none
1681,AGRKG3YT3KMD8,7,clear_in,none,none,none
1682,AGRKG3YT3KMD8,11,clear_in,clear_in,none,clear_in
1683,AGRKG3YT3KMD8,17,clear_in,none,clear_in,none
1684,AGRKG3YT3KMD8,18,clear_in,none,clear_in,clear_in
1685,AGRKG3YT3KMD8,31,clear_in,clear_in,clear_in,clear_in
1686,AGRKG3YT3KMD8,27,none,clear_in,none,none
1687,AGRKG3YT3KMD8,24,none,none,clear_in,clear_in
1688,AGRKG3YT3KMD8,5,clear_in,none,none,clear_in
1689,AGRKG3YT3KMD8,10,clear_in,none,none,none
1690,AGRKG3YT3KMD8,8,clear_in,none,clear_in,clear_in
1691,AGRKG3YT3KMD8,20,none,none,clear_in,clear_in
1692,AGRKG3YT3KMD8,6,clear_in,clear_in,clear_in,none
1693,AGRKG3YT3KMD8,2,clear_in,clear_in,none,none
1694,AGRKG3YT3KMD8,14,none,clear_in,clear_in,clear_in
1695,AGRKG3YT3KMD8,26,none,clear_in,clear_in,none
1696,AGRKG3YT3KMD8,21,clear_in,clear_in,clear_in,clear_in
1697,AGRKG3YT3KMD8,16,clear_in,clear_in,none,clear_in
1698,AGRKG3YT3KMD8,22,none,clear_in,none,clear_in
1699,AGRKG3YT3KMD8,29,clear_in,none,clear_in,none
1700,AGRKG3YT3KMD8,1,none,none,clear_in,none
1701,AGRKG3YT3KMD8,3,none,clear_in,none,none
1702,AGRKG3YT3KMD8,23,none,clear_in,none,none
1703,AGRKG3YT3KMD8,25,none,clear_in,clear_in,clear_in
1704,AGRKG3YT3KMD8,15,clear_in,clear_in,none,clear_in
1705,A1GQ2Q1USIMC63,22,clear_in,clear_ex,clear_ex,none
1706,A1GQ2Q1USIMC63,2,clear_in,clear_in,ambiguous,none
1707,A1GQ2Q1USIMC63,21,clear_in,clear_in,clear_ex,none
1708,A1GQ2Q1USIMC63,11,none,ambiguous,ambiguous,none
1709,A1GQ2Q1USIMC63,12,clear_ex,clear_in,clear_ex,clear_in
1710,A1GQ2Q1USIMC63,15,none,clear_ex,clear_in,clear_ex
